Time(s),Position(V)
1668.229000,-2.334281
1671.229000,-2.354525
1674.230000,-2.372130
1677.230000,-2.391660
1680.230000,-2.408828
1683.229000,-2.426127
1686.229000,-2.438444
1689.227000,-2.457416
1692.228000,-2.469396
1695.228000,-2.484619
1698.228000,-2.499461
1701.228000,-2.510461
1704.228000,-2.525137
1707.226000,-2.539010
1710.226000,-2.551530
1713.227000,-2.559713
1716.227000,-2.572168
1719.227000,-2.585158
1722.225000,-2.595822
1725.225000,-2.603572
1728.225000,-2.613591
1731.226000,-2.622626
1734.226000,-2.630887
1737.224000,-2.638750
1740.224000,-2.647480
1743.224000,-2.654908
1746.224000,-2.659653
1749.224000,-2.659847
1752.225000,-2.666180
1755.223000,-2.672282
1758.223000,-2.675322
1761.223000,-2.662251
1764.223000,-2.658379
1767.223000,-2.664797
1770.222000,-2.673363
1773.222000,-2.670025
1776.222000,-2.651617
1779.222000,-2.651875
1782.222000,-2.660479
1785.220000,-2.641218
1788.220000,-2.627872
1791.221000,-2.619560
1794.221000,-2.616864
1797.221000,-2.604840
1800.221000,-2.597355
1803.219000,-2.603124
1806.220000,-2.600642
1809.219000,-2.587116
1812.219000,-2.584671
1815.219000,-2.558281
1818.219000,-2.548069
1821.219000,-2.535138
1824.217000,-2.532745
1827.217000,-2.508228
1830.218000,-2.504890
1833.218000,-2.486281
1836.218000,-2.482582
1839.218000,-2.468634
1842.216000,-2.451759
1845.216000,-2.442707
1848.217000,-2.429367
1851.217000,-2.411139
1854.217000,-2.390844
1857.215000,-2.373698
1860.215000,-2.364601
1863.215000,-2.346237
1866.216000,-2.336133
1869.216000,-2.311640
1872.214000,-2.293256
1875.215000,-2.274087
1878.215000,-2.259319
1881.213000,-2.232222
1884.213000,-2.207267
1887.214000,-2.187846
1890.214000,-2.171977
1893.214000,-2.145753
1896.212000,-2.126288
1899.212000,-2.095730
1902.212000,-2.073070
1905.213000,-2.051578
1908.212000,-2.028951
1911.212000,-2.008130
1914.212000,-1.981729
1917.212000,-1.964518
1920.210000,-1.937519
1923.210000,-1.914311
1926.211000,-1.908916
1929.211000,-1.873038
1932.211000,-1.851557
1935.211000,-1.832486
1938.209000,-1.811484
1941.209000,-1.788161
1944.210000,-1.784581
1947.210000,-1.763477
1950.210000,-1.739994
1953.208000,-1.725811
1956.208000,-1.707638
1959.208000,-1.688747
1962.208000,-1.665219
1965.209000,-1.651574
1968.207000,-1.636705
1971.207000,-1.611654
1974.207000,-1.591764
1977.207000,-1.570908
1980.207000,-1.549304
1983.206000,-1.537559
1986.206000,-1.513433
1989.206000,-1.496303
1992.206000,-1.478769
1995.206000,-1.466045
1998.206000,-1.450016
2001.204000,-1.442585
2004.205000,-1.417395
2007.205000,-1.393776
2010.205000,-1.388313
2013.205000,-1.368144
2016.203000,-1.358935
2019.203000,-1.347869
2022.204000,-1.330665
2025.204000,-1.312556
2028.204000,-1.301881
2031.202000,-1.295008
2034.202000,-1.284055
2037.202000,-1.268064
2040.202000,-1.255870
2043.203000,-1.250791
2046.203000,-1.261615
2049.201000,-1.232991
2052.201000,-1.226301
2055.201000,-1.219798
2058.201000,-1.214525
2061.202000,-1.208185
2064.200000,-1.198232
2067.200000,-1.189376
2070.201000,-1.187778
2073.199000,-1.196821
2076.199000,-1.202736
2079.199000,-1.175088
2082.200000,-1.182081
2085.200000,-1.193870
2088.198000,-1.183363
2091.198000,-1.168670
2094.198000,-1.168456
2097.198000,-1.173762
2100.199000,-1.191589
2103.197000,-1.190491
2106.197000,-1.197484
2109.197000,-1.199942
2112.197000,-1.200020
2115.197000,-1.203018
2118.195000,-1.201519
2121.196000,-1.210212
2124.196000,-1.216456
2127.196000,-1.220634
2130.196000,-1.228759
2133.196000,-1.230873
2136.194000,-1.237247
2139.195000,-1.246154
2142.195000,-1.251036
2145.195000,-1.257168
2148.195000,-1.270861
2151.193000,-1.277358
2154.193000,-1.287152
2157.193000,-1.298434
2160.194000,-1.307372
2163.194000,-1.318549
2166.192000,-1.325606
2169.192000,-1.337185
2172.192000,-1.351847
2175.192000,-1.363704
2178.193000,-1.373267
2181.193000,-1.386810
2184.191000,-1.399908
2187.191000,-1.413068
2190.191000,-1.425690
2193.191000,-1.437571
2196.191000,-1.451478
2199.190000,-1.469210
2202.190000,-1.482658
2205.190000,-1.500053
2208.190000,-1.517802
2211.190000,-1.532776
2214.188000,-1.547707
2217.189000,-1.561393
2220.189000,-1.577632
2223.189000,-1.591594
2226.189000,-1.609159
2229.187000,-1.620401
2232.187000,-1.639965
2235.188000,-1.652798
2238.188000,-1.668921
2241.188000,-1.686724
2244.188000,-1.704058
2247.186000,-1.718040
2250.186000,-1.734357
2253.186000,-1.746912
2256.187000,-1.763885
2259.187000,-1.777871
2262.185000,-1.791343
2265.185000,-1.806844
2268.185000,-1.820048
2271.185000,-1.837511
2274.186000,-1.848209
2277.186000,-1.865121
2280.184000,-1.878070
2283.184000,-1.896243
2286.184000,-1.911775
2289.184000,-1.924160
2292.184000,-1.939889
2295.183000,-1.951960
2298.183000,-1.967758
